Photovoltaics.alphaModule,Photovoltaics.betaModule,Photovoltaics.PPeak,BatteryStorage.EBattNominal,BatteryStorage.SOCMax,BatteryStorage.SOCMin,batteryControllerDT1.lowerLimit,batteryControllerDT1.upperLimit,HeatingAndCooling.HeatGeneration.HeatStorage.VStorage,Investment costs,Yearly total costs,Yearly CO2 emissions,Resilience,Mean battery state of charge,Yearly energy discharged from battery,Maximum power peak,SOC Time proportion,Yearly energy fed into the grid,Maximum feed-in power peak,posResilience
0.409499057,0.062867381,0.1592276020623859,0.6097310792065239,0.080454453,0.05001915,0.786526015,0.969291444,0.2970781987423089,145292.5885,336661.9122,2156.129267,-984.3925608,0.1999522703444289,0.013766573,333428.193,1.0,0.0,0.0,984.3925608363692
0.635936356,0.130430804,0.220841674,0.029731777,0.5296607974125109,0.2708954873785389,0.6304234883023171,0.78258589,0.255469669,233356.8805,338105.0843,2159.699911,-1320.8345,0.199951934,0.013863751,333428.192820442,1.0,0.0,0.0,1320.8345
0.7329354736601509,0.795416639,0.5256725037875329,0.122051244,0.284441887582738,0.60629895,0.759122717,0.423824642,0.1760457347326149,116332.2779,337637.38922153803,2158.031401,-74.67786457,0.199964239,0.01031355,333428.1934,1.0,0.0,0.0,74.67786457
0.6080532981555279,0.242151955511546,0.188510864,0.056542403,0.5777246965788531,0.695720267,0.293940406164965,0.345012724,0.827099244,273344.3361,334307.76969208603,2144.6387,-273.0280743,0.1999554585938349,0.012846142,333428.193,1.0,1144.05457,23200.2585190802,273.02807434107604
0.466779247,0.6002750797890369,0.9644005144247492,0.403899222,0.776394067,0.548737977,0.144628194584908,0.566730524,0.594274276,108791.2043,333758.5922,2148.042481,-132.2806188,0.199959447,0.011695597,333428.1928,1.0,0.0,0.0,132.2806188
0.755416695,0.642480595,0.4240612611461861,0.963465279,0.121109859,0.145645432,0.820577138,0.304797311707255,0.9519420658087492,536650.6879,324530.71958529897,2109.618555,-878.5978024,0.199952428,0.013721122,333428.1933,1.0,41715.83642,193525.1701,878.5978024137289
0.8735580927849791,0.667408035,0.647625721,0.7566811296000708,0.316921087,0.452521953,0.811284212,0.33650332,0.142088156,437887.7122,328674.3489,2129.1202974335893,-1133.090541,0.3851773441196129,18183.42297,321079.72517163603,0.350319184679135,11829.65644,78244.76594,1133.090541
0.135667462,0.3236513831755901,0.5681408941487579,0.277644779330614,0.7141019004567779,0.098556911,0.8005530420400799,0.471669637,0.8539588011774059,193122.0772,333210.74843125104,2142.239947,-619.4608035,0.199953031,0.013547059,333428.1934,1.0,3679.025199,27791.88071,619.4608035
0.521912077,0.562372715,0.6180408894369069,0.7976698464283479,0.459640342,0.244442118,0.787997398,0.308526762,0.01733213,330869.4915,329193.1718,2130.737822,-695.4315629,0.603392452,2056.1943077773103,333774.9704,0.5427259491544411,7714.74055010869,53758.41774,695.4315629
0.8886692695866371,0.6454973289016209,0.8054377178959359,0.477446243,0.763647194,0.678372821,0.801069804,0.151379381,0.8303295371734529,482102.7991,329204.8332,2124.752657,-1191.899959,0.137623007,573.5060494,326377.8209,1.0,21548.00259,124219.888697746,1191.899959
0.199100067,0.5995557072208371,0.8343877705585359,0.630839766,0.614858724,0.868947282,0.097978853,0.206710505,0.242340174,484999.8373,324180.6753,2111.4542300386897,-1106.891135,0.213411851,72.97822317,333428.1944,1.0,36209.8555,185448.2905,1106.891135
0.60029597,0.347107391,0.317365631,0.64047733,0.241858852,0.033568531,0.119160842,0.131362403,0.53549817,535846.7309,328429.4973,2122.741257,-1366.190455,0.1999519010213749,0.013873178,333428.1932,1.0,21924.26717,119645.202269918,1366.190455
0.228995162194366,0.082558011,0.9782015200613678,0.7397206948939841,0.629503008,0.298200158,0.234734901,0.552298461,0.07176285,310638.3859,332904.0704,2141.227959,-420.544219,0.061329038,981.7787459,333428.2018,1.0,4772.350508,38250.67391,420.5442189669049
0.55734787,0.7543185942746291,0.5937059725169879,0.690206267,0.143794586454614,0.092663251,0.5695560767947591,0.918159806,0.399144497,626211.6425,331378.4679,2133.2586698310893,-1600.124922,0.1999517603140369,0.013913733,333428.193,1.0,6369.809158,53833.36559,1600.1249219831195
0.0548353,0.921819993,0.359049984,0.1565065594492539,0.631688274,0.6235904764466279,0.81204198,0.230014132,0.501780101,444567.4314,331935.44416519697,2136.679105,-1493.750056,0.1999518189326489,0.013896869,333428.193,1.0,6423.731626519979,57952.1558,1493.750056
0.5113561520699099,0.496959432,0.920038242,0.488872525,0.354260783,0.061591268,0.7679903435831329,0.971089476,0.73937234,208712.8449,334058.99474174104,2145.3354398322303,-442.3049105,0.266356081,2157.3727976781893,326377.8202,0.9960801881509692,381.4428354,7471.672739,442.3049105
0.079729637,0.502636204,0.69506219,0.339542359,0.952262237,0.324012998652382,0.939964123,0.7023247445070121,0.493572738,538135.6044,322267.3098,2104.088081,-1061.160364,0.199952175,0.01379402,333428.1934,1.0,46875.45385,213661.033,1061.160364
0.5738742459242321,0.011272142,0.272469897,0.810598508,0.460978017,0.779192793,0.750297996,0.359325695,0.6118806663054179,464670.1034,331870.5049,2140.58571,-1124.628623,0.199952106,0.013813914,333428.1936,1.0,0.0,0.0,1124.628623
0.964402619,0.583970194,0.658080732,0.359045129,0.1113664665849119,0.567335746,0.586257321,0.004085621,0.014245171,333268.7587,336568.21015332104,2155.5891652345604,-1752.414368,0.199951689,0.013934599,333428.19306797103,1.0,0.0,0.0,1752.4143682564902
0.232044256,0.509627902,0.251695898,0.349540497,0.755509188,0.20419721,0.451595842,0.9642603326768052,0.913675451,390503.9691,327450.4452,2117.874891,-782.2351935,0.199952606839046,0.013669279,333428.1929,1.0,30729.70339,167068.11089013302,782.2351935
0.043811817,0.232426896285056,0.3593605544878929,0.6555512676577329,0.203980966,0.000940473,0.1688576052081929,0.242821067615141,0.757673835,209534.0607,331478.5776,2139.59762,-761.8024518,0.199952650441391,0.013656728,333428.19340387604,1.0,1026.585143,12106.8433226151,761.8024518
